prefix_len,k,gn_recall,gn_precision,dp_recall,gn_extra,ref_size
2,1,0.4594721960414703,1.0,1.0,0,4244
2,1,0.4136504653567735,1.0,1.0,0,1934
2,1,0.46166350582497967,1.0,1.0,0,3691
2,1,0.4009870450339297,1.0,1.0,0,3242
3,1,0.44579945799457993,1.0,1.0,0,738
3,1,0.602291325695581,1.0,1.0,0,611
3,1,0.6014814814814815,1.0,1.0,0,675
3,1,0.6470588235294118,1.0,1.0,0,391
3,2,0.5176567656765677,1.0,1.0,0,6060
3,2,0.5877720504009164,1.0,1.0,0,6984
3,2,0.5273266152934203,1.0,1.0,0,8435
3,2,0.5441352228103125,1.0,1.0,0,5857
4,1,0.6557377049180327,1.0,1.0,0,61
4,1,0.6944444444444444,1.0,1.0,0,36
4,1,0.5260869565217391,1.0,1.0,0,230
4,1,0.49056603773584906,1.0,1.0,0,159
4,2,0.4798206278026906,1.0,1.0,0,1338
4,2,0.6259877085162423,1.0,1.0,0,1139
4,2,0.5688868613138686,1.0,1.0,0,2192
4,2,0.537279453614115,1.0,1.0,0,1757
5,1,1.0,1.0,1.0,0,5
5,1,0.46153846153846156,1.0,1.0,0,26
5,1,0.43333333333333335,1.0,1.0,0,30
5,1,0.9090909090909091,1.0,1.0,0,11
5,2,0.972972972972973,1.0,1.0,0,37
5,2,0.35542168674698793,1.0,1.0,0,498
5,2,0.4911504424778761,1.0,1.0,0,452
5,2,0.8068181818181818,1.0,1.0,0,176
6,1,1.0,1.0,1.0,0,3
6,1,1.0,1.0,1.0,0,1
6,1,1.0,1.0,1.0,0,11
6,1,0.75,1.0,1.0,0,4
6,2,1.0,1.0,1.0,0,37
6,2,0.8461538461538461,1.0,1.0,0,26
6,2,0.8260869565217391,1.0,1.0,0,23
6,2,0.8,1.0,1.0,0,15
7,1,0.875,1.0,1.0,0,8
7,1,1.0,1.0,1.0,0,1
7,1,1.0,1.0,1.0,0,3
7,1,0.6666666666666666,1.0,1.0,0,6
7,2,0.90625,1.0,1.0,0,32
7,2,1.0,1.0,1.0,0,4
7,2,1.0,1.0,1.0,0,18
7,2,0.6444444444444445,1.0,1.0,0,45
