prefix_len,k,n,recall,recall_ci95,precision,median_candidates,naive_recall,naive_precision
3,1,297,0.2256,0.0474,0.0006,486,0.2256,0.0006
3,2,297,0.266,0.05,0.0,7389,0.266,0.0
4,1,289,0.301,0.0526,0.0057,81,0.301,0.0057
4,2,289,0.3668,0.0552,0.0002,1668,0.3668,0.0002
5,1,263,0.3156,0.0558,0.0291,16,0.3156,0.0291
5,2,263,0.4183,0.0592,0.0015,330,0.4183,0.0015
6,1,235,0.366,0.0611,0.0885,5,0.366,0.0885
6,2,235,0.4638,0.0632,0.0092,65,0.4638,0.0092
7,1,193,0.3886,0.0681,0.1995,1,0.3886,0.1995
7,2,193,0.544,0.0696,0.0511,16,0.544,0.0511
mot,1,300,0.4233,0.0556,0.1716,1.0,0.4233,0.1716
mot,2,297,0.6667,0.0533,0.142,8,0.6667,0.142
