prefix_len,k,n,recall,recall_ci95,precision,median_candidates,naive_recall,naive_precision
3,1,60,0.2167,0.1025,0.0005,562.0,0.2167,0.0005
3,2,60,0.2167,0.1025,0.0,7692.5,0.2167,0.0
4,1,60,0.4667,0.1224,0.0061,103.0,0.4667,0.0061
4,2,60,0.5,0.1227,0.0003,1760.5,0.5,0.0003
5,1,55,0.6909,0.1187,0.0539,23,0.6909,0.0539
5,2,55,0.7818,0.1071,0.0024,418,0.7818,0.0024
6,1,53,0.717,0.118,0.1873,6,0.717,0.1873
6,2,53,0.8679,0.0915,0.0162,81,0.8679,0.0162
7,1,42,0.6429,0.1392,0.2736,2.0,0.6429,0.2736
7,2,42,0.8333,0.1114,0.0756,19.0,0.8333,0.0756
mot,1,60,0.7167,0.1113,0.3578,2.0,0.7167,0.3578
mot,2,60,0.9833,0.0428,0.2053,15.0,0.9833,0.2053
