dict_size,k,index_build_s,index_entries,prefix_len,dp_ms,symspell_ms,symspell_prefixes_checked,symspell_over_dp
10000,1,0.06,171392,3,0.458,0.053,38,0.12
10000,1,0.06,171392,4,0.642,0.065,29,0.1
10000,1,0.06,171392,5,0.613,0.02,6,0.03
10000,1,0.06,171392,6,0.656,0.011,2,0.02
10000,1,0.06,171392,7,0.712,0.015,2,0.02
10000,2,0.26,607360,3,4.278,1.307,877,0.31
10000,2,0.26,607360,4,3.509,1.292,590,0.37
10000,2,0.26,607360,5,2.747,0.383,129,0.14
10000,2,0.26,607360,6,2.828,0.15,33,0.05
10000,2,0.26,607360,7,3.146,0.077,13,0.02
50000,1,0.48,886636,3,1.98,0.228,140,0.12
50000,1,0.48,886636,4,1.104,0.111,48,0.1
50000,1,0.48,886636,5,1.381,0.06,17,0.04
50000,1,0.48,886636,6,1.411,0.019,4,0.01
50000,1,0.48,886636,7,1.634,0.02,3,0.01
50000,2,2.05,3372087,3,23.29,5.441,3005,0.23
50000,2,2.05,3372087,4,11.807,3.584,1573,0.3
50000,2,2.05,3372087,5,9.522,1.675,541,0.18
50000,2,2.05,3372087,6,9.485,0.598,140,0.06
50000,2,2.05,3372087,7,9.636,0.166,30,0.02
100000,1,1.28,1837202,3,2.656,0.326,198,0.12
100000,1,1.28,1837202,4,1.489,0.143,63,0.1
100000,1,1.28,1837202,5,1.671,0.05,15,0.03
100000,1,1.28,1837202,6,1.76,0.029,6,0.02
100000,1,1.28,1837202,7,2.02,0.023,4,0.01
100000,2,4.66,7234246,3,38.422,7.749,4414,0.2
100000,2,4.66,7234246,4,19.285,5.509,2508,0.29
100000,2,4.66,7234246,5,11.605,1.472,478,0.13
100000,2,4.66,7234246,6,14.878,0.837,201,0.06
100000,2,4.66,7234246,7,16.501,0.443,82,0.03
333333,1,5.32,6678811,3,4.816,0.452,244,0.09
333333,1,5.32,6678811,4,2.968,0.409,186,0.14
333333,1,5.32,6678811,5,2.696,0.186,59,0.07
333333,1,5.32,6678811,6,2.746,0.088,20,0.03
333333,1,5.32,6678811,7,3.002,0.037,6,0.01
333333,2,20.38,27961910,3,100.856,15.639,7116,0.16
333333,2,20.38,27961910,4,55.805,16.385,6773,0.29
333333,2,20.38,27961910,5,30.788,8.098,2506,0.26
333333,2,20.38,27961910,6,34.0,2.893,623,0.09
333333,2,20.38,27961910,7,33.599,1.066,196,0.03
