=== 4. SYMSPELL (index de suppressions) ===
   dico  k |  index s    entrees |  |q| |    DP ms | symspell ms  prefixes |   gain
-----------------------------------------------------------------------------------
  10000  1 |     0.06    171,392 |    3 |     0.46 |        0.05        38 |   0.1x
  10000  1 |     0.06    171,392 |    4 |     0.64 |        0.07        30 |   0.1x
  10000  1 |     0.06    171,392 |    5 |     0.61 |        0.02         6 |   0.0x
  10000  1 |     0.06    171,392 |    6 |     0.66 |        0.01         2 |   0.0x
  10000  1 |     0.06    171,392 |    7 |     0.71 |        0.01         2 |   0.0x
  10000  2 |     0.26    607,360 |    3 |     4.28 |        1.31       878 |   0.3x
  10000  2 |     0.26    607,360 |    4 |     3.51 |        1.29       590 |   0.4x
  10000  2 |     0.26    607,360 |    5 |     2.75 |        0.38       130 |   0.1x
  10000  2 |     0.26    607,360 |    6 |     2.83 |        0.15        34 |   0.1x
  10000  2 |     0.26    607,360 |    7 |     3.15 |        0.08        13 |   0.0x
  50000  1 |     0.48    886,636 |    3 |     1.98 |        0.23       140 |   0.1x
  50000  1 |     0.48    886,636 |    4 |     1.10 |        0.11        48 |   0.1x
  50000  1 |     0.48    886,636 |    5 |     1.38 |        0.06        18 |   0.0x
  50000  1 |     0.48    886,636 |    6 |     1.41 |        0.02         4 |   0.0x
  50000  1 |     0.48    886,636 |    7 |     1.63 |        0.02         4 |   0.0x
  50000  2 |     2.05  3,372,087 |    3 |    23.29 |        5.44      3005 |   0.2x
  50000  2 |     2.05  3,372,087 |    4 |    11.81 |        3.58      1573 |   0.3x
  50000  2 |     2.05  3,372,087 |    5 |     9.52 |        1.67       542 |   0.2x
  50000  2 |     2.05  3,372,087 |    6 |     9.48 |        0.60       140 |   0.1x
  50000  2 |     2.05  3,372,087 |    7 |     9.64 |        0.17        30 |   0.0x
 100000  1 |     1.28  1,837,202 |    3 |     2.66 |        0.33       198 |   0.1x
 100000  1 |     1.28  1,837,202 |    4 |     1.49 |        0.14        63 |   0.1x
 100000  1 |     1.28  1,837,202 |    5 |     1.67 |        0.05        15 |   0.0x
 100000  1 |     1.28  1,837,202 |    6 |     1.76 |        0.03         6 |   0.0x
 100000  1 |     1.28  1,837,202 |    7 |     2.02 |        0.02         4 |   0.0x
 100000  2 |     4.66  7,234,246 |    3 |    38.42 |        7.75      4414 |   0.2x
 100000  2 |     4.66  7,234,246 |    4 |    19.28 |        5.51      2508 |   0.3x
 100000  2 |     4.66  7,234,246 |    5 |    11.60 |        1.47       478 |   0.1x
 100000  2 |     4.66  7,234,246 |    6 |    14.88 |        0.84       201 |   0.1x
 100000  2 |     4.66  7,234,246 |    7 |    16.50 |        0.44        82 |   0.0x
 333333  1 |     5.32  6,678,811 |    3 |     4.82 |        0.45       244 |   0.1x
 333333  1 |     5.32  6,678,811 |    4 |     2.97 |        0.41       186 |   0.1x
 333333  1 |     5.32  6,678,811 |    5 |     2.70 |        0.19        60 |   0.1x
 333333  1 |     5.32  6,678,811 |    6 |     2.75 |        0.09        20 |   0.0x
 333333  1 |     5.32  6,678,811 |    7 |     3.00 |        0.04         6 |   0.0x
 333333  2 |    20.38 27,961,910 |    3 |   100.86 |       15.64      7116 |   0.2x
 333333  2 |    20.38 27,961,910 |    4 |    55.81 |       16.38      6774 |   0.3x
 333333  2 |    20.38 27,961,910 |    5 |    30.79 |        8.10      2506 |   0.3x
 333333  2 |    20.38 27,961,910 |    6 |    34.00 |        2.89       624 |   0.1x
 333333  2 |    20.38 27,961,910 |    7 |    33.60 |        1.07       196 |   0.0x
  -> results/symspell.csv
